subtotal,order_date_dt,order_total_revenue,zip_code,unique_customer_id
80,2023-06-06,48,87106,259
80,2023-06-02,48,44305,342
80,2023-05-31,48,89149,343
115,2023-05-29,73.95,,344
160,2023-05-29,96,49112,345
80,2023-05-28,44,17603,189
32,2023-05-24,32,33458,191
115,2023-05-24,73.95,,346
160,2023-05-23,96,,347
160,2023-05-23,96,,347
40,2023-05-23,24,44305,342
120,2023-05-23,72,,348
80,2023-05-18,48,18302,340
80,2023-05-18,48,18302,340
390,2023-05-14,226,18302,340
390,2023-05-14,226,18302,340
32,2023-05-12,32,93277,288
260,2023-05-12,99,,349
75,2023-05-11,45,,350
40,2023-05-09,24,,351
260,2023-05-09,99,83687,87
260,2023-05-09,99,83687,87
260,2023-05-09,99,83687,87
260,2023-05-09,99,83687,87
150,2023-05-08,90,,73
150,2023-05-08,90,93555,74
150,2023-05-08,90,93555,74
75,2023-05-07,45,91006,100
40,2023-05-06,24,87109,352
80,2023-05-06,48,,353
75,2023-05-05,45,,354
260,2023-05-05,99,,355
260,2023-05-05,99,,355
260,2023-05-05,99,,355
260,2023-05-05,99,,355
260,2023-05-05,99,,355
160,2023-05-03,96,,356
150,2023-05-02,90,,73
150,2023-05-02,90,93555,74
150,2023-05-02,90,93555,74
145,2023-05-02,113,80125,258
75,2023-04-30,45,,357
80,2023-04-30,48,,358
145,2023-04-29,113,83687,87
145,2023-04-29,113,83687,87
145,2023-04-29,113,83687,87
145,2023-04-29,113,83687,87
150,2023-04-27,90,97901,359
75,2023-04-26,45,,360
40,2023-04-25,24,80004,276
120,2023-04-25,72,,347
120,2023-04-25,72,,347
155,2023-04-24,93,77303,361
75,2023-04-22,45,81623,261
75,2023-04-22,45,81623,261
150,2023-04-20,90,,128
150,2023-04-20,90,,128
150,2023-04-20,90,,128
40,2023-04-19,24,,362
75,2023-04-18,45,,363
40,2023-04-18,24,89122,4
40,2023-04-17,24,89122,4
40,2023-04-16,24,,364
40,2023-04-16,24,,365
40,2023-04-15,24,7922,275
40,2023-04-15,24,7922,275
120,2023-04-14,68,,366
32,2023-04-12,32,93277,288
40,2023-04-11,40,80026,192
40,2023-04-11,40,80026,192
80,2023-04-10,48,8742,186
65,2023-04-09,39,71138,168
65,2023-04-09,39,71138,168
65,2023-04-09,39,71138,168
65,2023-04-09,39,,169
345,2023-04-09,207,59716,194
345,2023-04-09,207,33496,195
40,2023-04-09,24,,277
40,2023-04-09,24,,277
40,2023-04-09,24,,277
290,2023-04-09,174,,273
290,2023-04-09,174,,273
290,2023-04-09,174,,273
290,2023-04-09,174,,273
290,2023-04-09,174,,273
75,2023-04-09,45,80504,108
75,2023-04-09,45,80504,108
150,2023-04-09,90,80237,367
75,2023-04-09,45,7832,368
150,2023-04-09,90,81321,369
230,2023-04-09,138,37307,253
80,2023-04-08,48,,370
150,2023-04-08,90,80219,111
150,2023-04-08,90,80219,111
150,2023-04-08,90,80219,111
80,2023-04-08,48,,371
40,2023-04-08,24,,372
75,2023-04-05,45,,373
150,2023-04-04,90,81623,261
150,2023-04-04,90,81623,261
